Id;AcceptedAnswerId;AnswerCount;ClosedDate;CommentCount;CommunityOwnedDate;CreationDate;FavoriteCount;LastActivityDate;LastEditDate;LastEditorDisplayName;LastEditorUserId;OwnerUserId;ParentId;PostTypeId;Score;Tags;Title;ViewCount
24;49;6;NULL;0;NULL;2008-08-01 12:12:19.350;21;2016-11-19 21:05:59.207;2016-03-11 08:26:05.063;Jim Anderson;5195227;22;0;1;145;<mysql><database><triggers>;Throw an error in a MySQL trigger;62035
25;1443907;9;NULL;0;NULL;2008-08-01 12:13:50.207;6;2018-08-22 16:02:31.843;2018-08-22 16:02:31.843;user5857081;23;23;0;1;132;<c++><c><sockets><mainframe><zos>;How to use the C socket API in C++ on z/OS;9284
26;0;0;NULL;0;NULL;2008-08-01 12:16:22.167;0;2016-06-02 05:55:17.060;2016-06-02 05:55:17.060;Geoff Dalgas;126039;48;17;2;131;NULL;NULL;0
27;0;0;NULL;0;2009-09-04 13:15:59.820;2008-08-01 12:17:19.357;0;2008-08-01 13:16:49.127;2008-08-01 13:16:49.127;Nick Berardi;17;17;11;2;29;NULL;NULL;0
29;0;0;NULL;4;NULL;2008-08-01 12:19:17.417;0;2008-08-01 12:19:17.417;NULL;NULL;0;19;13;2;82;NULL;NULL;0
30;0;0;NULL;0;NULL;2008-08-01 12:22:40.797;0;2008-08-01 12:22:40.797;NULL;NULL;0;13;25;2;37;NULL;NULL;0
31;0;0;NULL;0;NULL;2008-08-01 12:22:51.593;0;2016-03-19 06:10:52.170;2016-03-19 06:10:52.170;NULL;63550;0;6;2;132;NULL;NULL;0
33;0;0;NULL;4;NULL;2008-08-01 12:26:39.773;0;2009-10-14 02:09:03.030;2017-05-23 12:03:01.573;NULL;-1;13;14;2;438;NULL;NULL;0
34;0;8;NULL;0;NULL;2008-08-01 12:30:57.630;2;2018-05-30 15:54:44.000;2018-05-30 15:53:47.560;NULL;5321363;0;0;1;77;<arrays><actionscript-3><flex>;Unloading a ByteArray using Actionscript 3;8102
36;352;8;NULL;1;NULL;2008-08-01 12:35:56.917;23;2017-02-27 13:35:29.970;2016-11-30 07:50:37.517;Mark Harrison;2571493;32;0;1;125;<sql><sql-server><datatable><rdbms>;Check for changes to an SQL Server table?;50645
39;45;2;NULL;0;NULL;2008-08-01 12:43:11.503;2;2014-01-17 09:33:10.450;2012-05-25 20:55:43.157;Jim Anderson;63550;33;0;1;83;<c#><.net><vb.net><timer>;Reliable timer in a console application;4831
42;77;8;NULL;0;NULL;2008-08-01 12:50:18.587;108;2017-02-20 11:18:33.207;2015-12-14 20:05:51.823;Vaibhav;4595675;37;0;1;251;<php><plugins><architecture><hook>;Best way to allow plugins for a PHP application;32010
44;0;0;NULL;0;NULL;2008-08-01 12:55:42.413;0;2012-10-14 12:20:15.140;2012-10-14 12:20:15.140;NULL;967315;35;39;2;19;NULL;NULL;0
45;0;0;NULL;0;NULL;2008-08-01 12:56:37.920;0;2012-10-14 12:20:06.700;2012-10-14 12:20:06.700;huseyint;967315;39;39;2;52;NULL;NULL;0
48;31910;23;NULL;0;NULL;2008-08-01 13:01:17.303;31;2018-04-25 06:28:32.217;2017-04-12 17:19:03.337;kevin d;2246271;40;0;1;239;<html><form-submit><html-form><submit-button>;Multiple submit buttons in an HTML form;200575
49;0;0;NULL;1;NULL;2008-08-01 13:02:51.900;0;2012-12-24 21:24:41.017;2012-12-24 21:24:41.017;NULL;957909;43;24;2;54;NULL;NULL;0
51;0;0;NULL;0;NULL;2008-08-01 13:07:52.810;0;2017-01-26 17:38:44.893;2017-01-26 17:38:44.893;NULL;3735690;17;36;2;26;NULL;NULL;0
52;0;0;NULL;0;NULL;2008-08-01 13:08:59.127;0;2008-08-01 13:08:59.127;NULL;NULL;0;23;34;2;18;NULL;NULL;0
53;0;0;NULL;0;NULL;2008-08-01 13:08:59.487;0;2014-07-10 21:03:46.907;2014-07-10 21:03:46.907;NULL;1668244;34;34;2;23;NULL;NULL;0
56;0;0;NULL;2;NULL;2008-08-01 13:10:16.473;0;2014-07-14 07:55:42.730;2014-07-14 07:55:42.730;NULL;2354564;39;48;2;54;NULL;NULL;0
58;0;0;NULL;6;NULL;2008-08-01 13:14:30.303;0;2015-07-06 22:50:09.980;2015-07-06 22:50:09.980;NULL;875317;37;48;2;61;NULL;NULL;0
59;43110;7;NULL;0;NULL;2008-08-01 13:14:33.797;3;2018-06-25 10:56:10.077;2018-01-30 16:56:45.910;Keith;3919949;45;0;1;87;<c#><linq><.net-3.5>;How do I get a distinct, ordered list of names from a DataTable using LINQ?;23592
60;0;0;NULL;0;NULL;2008-08-01 13:14:40.007;0;2014-07-11 14:58:07.480;2014-07-11 14:58:07.480;NULL;2354564;41;34;2;15;NULL;NULL;0
61;0;1;NULL;0;2013-04-11 20:15:23.130;2008-08-01 13:17:20.640;2;2018-03-27 15:17:31.530;2017-12-21 14:55:01.680;user8529958;1695458;0;0;1;41;<mime><file-type><office-2007>;Microsoft Office 2007 file type, Mime types and identifying characters;2450
62;0;0;NULL;0;NULL;2008-08-01 13:18:37.640;0;2014-08-19 23:17:56.597;2014-08-19 23:17:56.597;NULL;1248536;45;59;2;52;NULL;NULL;0
65;0;0;NULL;0;NULL;2008-08-01 13:20:44.283;0;2017-01-02 03:57:33.723;2017-01-02 03:57:33.723;NULL;5898312;35;61;2;24;NULL;NULL;0
66;4521;4;NULL;0;NULL;2008-08-01 13:20:46.890;5;2018-04-08 18:47:49.823;2012-05-04 09:03:54.213;Keith;1039608;17;0;1;72;<linq><.net-3.5>;Paging a collection with LINQ;4291
68;0;0;NULL;2;NULL;2008-08-01 13:22:04.483;0;2012-05-04 09:04:26.523;2012-05-04 09:04:26.523;NULL;1039608;17;66;2;62;NULL;NULL;0
71;0;0;NULL;1;NULL;2008-08-01 13:37:59.723;0;2012-05-25 21:09:03.593;2012-05-25 21:09:03.593;NULL;63550;49;19;2;76;NULL;NULL;0
72;0;2;2017-04-20 07:24:44.697;1;NULL;2008-08-01 13:38:27.133;1;2016-12-30 06:56:18.310;2016-12-30 06:56:18.310;Gaius;2909897;25;0;1;38;<ruby><rdoc>;How do I add existing comments to RDoc in Ruby?;1267
73;0;0;NULL;0;NULL;2008-08-01 13:40:16.443;0;2008-08-01 13:54:25.510;2008-08-01 13:54:25.510;Chris Jester-Young;13;13;25;2;18;NULL;NULL;0
76;0;0;NULL;1;NULL;2008-08-01 13:44:35.843;0;2008-08-01 13:44:35.843;NULL;NULL;0;50;42;2;15;NULL;NULL;0
77;0;0;NULL;3;2011-02-10 01:43:58.203;2008-08-01 13:46:00.097;0;2017-02-20 11:18:33.207;2017-02-20 11:18:33.207;NULL;4380409;40;42;2;151;NULL;NULL;0
78;0;0;NULL;0;NULL;2008-08-01 13:53:06.357;0;2012-10-14 11:54:40.347;2012-10-14 11:54:40.347;NULL;967315;55;4;2;54;NULL;NULL;0
79;62853;4;NULL;0;NULL;2008-08-01 13:56:33.837;1;2016-03-10 03:47:08.200;2016-03-10 03:47:08.200;Gaius;415755;58;0;1;37;<eclipse><svn><aptana><subclipse>;Getting Subclipse in Aptana to work with the newest release of Subversion;10746
80;124;3;NULL;0;NULL;2008-08-01 13:57:07.033;2;2018-08-27 01:12:05.427;2017-04-28 13:42:44.903;modesty;3641067;26;0;1;39;<flex><actionscript-3><air>;SQLStatement.execute() - multiple queries in one statement;5001
81;0;0;NULL;0;NULL;2008-08-01 14:03:22.230;0;2012-10-14 12:18:19.590;2012-10-14 12:18:19.590;NULL;967315;41;34;2;15;NULL;NULL;0
82;0;0;NULL;1;NULL;2008-08-01 14:06:28.560;0;2008-08-01 14:06:28.560;NULL;NULL;0;51;36;2;18;NULL;NULL;0
84;0;0;NULL;0;NULL;2008-08-01 14:10:55.757;0;2008-10-18 18:26:59.070;2008-10-18 18:26:59.070;Kilhoffer;5469;60;16;2;15;NULL;NULL;0
85;154;12;2015-10-22 13:43:51.340;1;NULL;2008-08-01 14:19:52.510;22;2018-05-30 15:51:16.253;2018-05-30 15:51:16.253;saint_groceon;5321363;59;0;1;103;<php><sql><database><flat-file>;Flat file databases;49079
86;0;0;NULL;0;NULL;2008-08-01 14:23:28.087;0;2014-07-11 14:42:28.547;2014-07-11 14:42:28.547;huseyint;2354564;39;4;2;117;NULL;NULL;0
87;0;0;NULL;0;NULL;2008-08-01 14:26:22.793;0;2015-08-24 17:19:04.537;2015-08-24 17:19:04.537;NULL;4551041;59;85;2;12;NULL;NULL;0
88;98;10;NULL;0;NULL;2008-08-01 14:36:18.640;18;2018-05-31 01:36:13.093;2018-05-31 01:36:13.093;user1645055;5321363;61;0;1;85;<linux><winapi><visual-c++><unix><timer>;Is gettimeofday() guaranteed to be of microsecond resolution?;37520
89;0;0;NULL;0;NULL;2008-08-01 14:41:01.110;0;2008-08-01 14:41:01.110;NULL;NULL;0;0;79;2;7;NULL;NULL;0
90;1466832;3;2012-12-26 03:45:49.847;0;NULL;2008-08-01 14:41:24.277;91;2017-08-24 17:01:23.503;2017-08-24 17:01:23.503;Gaius;58;58;0;1;157;<svn><tortoisesvn><branch><branching-and-merging>;How do you branch and merge with TortoiseSVN?;54560
92;0;0;NULL;0;NULL;2008-08-01 14:45:37.403;0;2008-08-01 14:45:37.403;NULL;NULL;0;61;90;2;16;NULL;NULL;0
93;0;0;NULL;0;NULL;2008-08-01 14:46:53.097;0;2008-08-01 15:01:13.003;2008-08-01 15:01:13.003;Chris Reath;25;25;88;2;5;NULL;NULL;0
98;0;0;NULL;5;NULL;2008-08-01 14:53:47.497;0;2012-10-14 12:28:51.043;2012-10-14 12:28:51.043;lbrandy;967315;2089740;88;2;56;NULL;NULL;0
99;0;0;NULL;0;NULL;2008-08-01 14:55:08.477;0;2017-09-12 18:12:53.697;2017-09-12 18:12:53.697;NULL;6761181;25;88;2;9;NULL;NULL;0
100;0;0;NULL;0;NULL;2008-08-01 14:58:15.430;0;2012-10-14 12:28:29.997;2012-10-14 12:28:29.997;NULL;967315;59;85;2;15;NULL;NULL;0
103;0;0;NULL;3;NULL;2008-08-01 15:11:59.987;0;2012-05-04 08:59:38.580;2012-05-04 08:59:38.580;NULL;1039608;72;13;2;48;NULL;NULL;0
104;112;15;NULL;0;NULL;2008-08-01 15:12:34.837;65;2018-06-08 15:37:29.390;2018-06-08 15:37:29.390;user1645055;6296561;39;0;1;163;<.net><performance><memory-leaks><com-interop>;"Anatomy of a ""Memory Leak""";11335
107;0;0;NULL;0;NULL;2008-08-01 15:19:25.900;0;2008-08-01 15:19:25.900;NULL;NULL;0;61;104;2;14;NULL;NULL;0
108;111;8;2012-08-15 19:45:13.350;0;NULL;2008-08-01 15:22:29.467;2;2018-05-10 00:13:14.383;2011-11-20 13:46:24.733;Adam Mitz;1288;72;0;1;41;<windows><svn><64bit>;Best Subversion clients for Windows Vista (64bit);14983
109;2585;2;NULL;3;NULL;2008-08-01 15:23:05.190;0;2015-01-08 17:02:44.503;2015-01-08 16:27:49.863;Jeff Atwood;63550;71;0;1;51;<c#><sql><vb.net><ascii><hex>;Decoding T-SQL CAST in C#/VB.NET;4581
110;0;0;NULL;0;NULL;2008-08-01 15:23:33.817;0;2015-11-30 21:14:09.740;2015-11-30 21:14:09.740;NULL;3393505;36;104;2;10;NULL;NULL;0
111;0;0;NULL;2;NULL;2008-08-01 15:27:23.093;0;2008-08-01 15:27:23.093;NULL;NULL;0;146270;108;2;39;NULL;NULL;0
112;0;0;NULL;6;NULL;2008-08-01 15:28:12.543;0;2018-05-14 20:34:56.370;2018-05-14 20:34:56.370;GateKiller;7232508;34;104;2;109;NULL;NULL;0
113;0;0;NULL;1;NULL;2008-08-01 15:32:11.337;0;2008-08-01 15:32:11.337;NULL;NULL;0;60;108;2;9;NULL;NULL;0
114;0;0;NULL;0;NULL;2008-08-01 15:32:42.473;0;2013-11-07 16:52:15.250;2013-11-07 16:52:15.250;NULL;761095;17;108;2;11;NULL;NULL;0
116;0;0;NULL;0;NULL;2008-08-01 15:34:43.873;0;2008-08-01 15:34:43.873;NULL;NULL;0;58;108;2;6;NULL;NULL;0
120;0;1;NULL;1;NULL;2008-08-01 15:50:08.537;2;2017-12-22 18:44:57.273;2017-12-22 18:44:57.273;Leon Bambrick;2384186;83;0;1;33;<sql><asp.net><xml><sitemap>;ASP.NET Site Maps;1282
123;183;16;NULL;5;NULL;2008-08-01 16:08:52.353;21;2018-07-21 09:48:05.227;2015-10-27 09:34:09.503;Jeff Atwood;2553431;78;0;1;99;<java><xml><csv><data-conversion>;Java lib or app to convert CSV to XML file?;66689
124;0;0;NULL;1;NULL;2008-08-01 16:09:47.687;0;2018-08-27 01:12:05.427;2018-08-27 01:12:05.427;NULL;8708364;26;80;2;20;NULL;NULL;0
126;127;18;2012-05-08 18:11:27.270;0;NULL;2008-08-01 16:10:30.337;4;2018-02-15 11:07:09.470;2010-01-20 08:27:13.130;Gaius;202431;58;0;1;84;<java><php><oop><theory>;How would you access Object properties from within an object method?;11167
127;0;0;NULL;2;NULL;2008-08-01 16:13:47.600;0;2008-08-01 16:32:17.110;2008-08-01 16:32:17.110;Greg;35;35;126;2;59;NULL;NULL;0
128;0;0;NULL;2;NULL;2008-08-01 16:19:04.283;0;2008-08-01 16:19:04.283;NULL;NULL;0;26;126;2;19;NULL;NULL;0
129;0;5;2012-07-03 14:30:16.880;5;NULL;2008-08-01 16:22:42.420;22;2015-10-10 10:25:12.217;2015-10-10 10:25:12.217;Mark Harrison;4800955;48;0;1;82;<mysql><sql-server><csv><sql-server-2005><bcp>;How to export data from SQL Server 2005 to MySQL;93930
133;0;0;NULL;1;NULL;2008-08-01 16:31:43.430;0;2013-11-26 00:02:16.310;2013-11-26 00:02:16.310;NULL;1102512;59;123;2;4;NULL;NULL;0
134;206;2;NULL;0;NULL;2008-08-01 16:33:38.183;0;2018-06-17 23:21:43.453;2018-06-08 15:40:23.437;Jim Anderson;6296561;71;0;1;28;<.net><database><xsd>;XSD DataSets and ignoring foreign keys;785
135;0;0;NULL;0;NULL;2008-08-01 16:36:42.080;0;2008-08-01 16:36:42.080;NULL;NULL;0;72;129;2;8;NULL;NULL;0
139;0;0;NULL;0;NULL;2008-08-01 16:43:30.880;0;2008-08-01 16:43:30.880;NULL;NULL;0;72;126;2;13;NULL;NULL;0
141;0;0;NULL;0;NULL;2008-08-01 16:47:54.927;0;2008-08-01 16:47:54.927;NULL;NULL;0;71;129;2;6;NULL;NULL;0
142;0;0;NULL;0;NULL;2008-08-01 16:56:55.830;0;2008-08-01 16:56:55.830;NULL;NULL;0;42;126;2;6;NULL;NULL;0
143;0;0;NULL;0;NULL;2008-08-01 17:01:27.240;0;2008-08-01 17:01:27.240;NULL;NULL;0;86;126;2;5;NULL;NULL;0
145;0;9;NULL;0;2014-04-04 13:02:49.830;2008-08-01 17:13:08.933;2;2018-01-09 18:35:19.950;2017-01-16 03:22:50.537;kevin d;481248;87;0;1;44;<c#><.net><compression><decompression>;Compressing / Decompressing Folders & Files;2879
146;152;8;NULL;0;NULL;2008-08-01 17:14:58.337;9;2018-04-11 12:10:46.337;2016-04-22 05:33:06.060;NULL;3001352;30;0;1;69;<php><apache><logging><download><analytics>;How do I track file downloads;16473
147;0;0;NULL;0;NULL;2008-08-01 17:23:43.777;0;2008-08-01 17:23:43.777;NULL;NULL;0;146637;42;2;33;NULL;NULL;0
148;0;0;NULL;0;NULL;2008-08-01 17:24:24.290;0;2008-08-01 17:24:24.290;NULL;NULL;0;71;146;2;7;NULL;NULL;0
149;0;0;NULL;0;NULL;2008-08-01 17:28:24.253;0;2008-08-01 17:28:24.253;NULL;NULL;0;80;145;2;11;NULL;NULL;0
151;0;0;NULL;1;NULL;2008-08-01 17:30:56.277;0;2012-12-04 20:29:28.010;2012-12-04 20:29:28.010;Jeff Atwood;1525840;44;145;2;22;NULL;NULL;0
152;0;0;NULL;6;NULL;2008-08-01 17:33:58.750;0;2018-04-11 12:10:46.337;2018-04-11 12:10:46.337;Grant;656132;146637;146;2;37;NULL;NULL;0
153;0;0;NULL;0;NULL;2008-08-01 17:42:04.723;0;2008-08-01 17:42:04.723;NULL;NULL;0;59;146;2;12;NULL;NULL;0
154;0;0;NULL;0;NULL;2008-08-01 17:45:06.513;0;2012-10-14 12:26:34.197;2012-10-14 12:26:34.197;NULL;967315;146637;85;2;70;NULL;NULL;0
155;0;0;NULL;0;NULL;2008-08-01 17:47:54.727;0;2008-08-01 17:47:54.727;NULL;NULL;0;9;108;2;8;NULL;NULL;0
158;0;0;NULL;0;NULL;2008-08-01 17:51:55.407;0;2012-05-07 01:43:59.980;2012-05-07 01:43:59.980;user212218;0;70;146;2;28;NULL;NULL;0
159;0;0;NULL;0;NULL;2008-08-01 17:52:46.293;0;2008-08-01 17:52:46.293;NULL;NULL;0;42;104;2;33;NULL;NULL;0
160;0;0;NULL;4;NULL;2008-08-01 17:54:08.163;0;2008-08-01 17:54:08.163;NULL;NULL;0;17;129;2;59;NULL;NULL;0
161;0;0;NULL;0;NULL;2008-08-01 17:57:14.117;0;2008-08-01 17:57:14.117;NULL;NULL;0;33;104;2;19;NULL;NULL;0
163;170;7;NULL;3;NULL;2008-08-01 18:00:13.830;16;2015-12-29 06:29:47.283;2015-12-29 06:27:21.560;ChanChan;3787519;83;0;1;87;<.net><asp.net><svn><versioning>;How do I sync the SVN revision number with my ASP.NET web site?;7796
164;699;9;NULL;1;NULL;2008-08-01 18:02:22.797;12;2017-08-21 08:55:48.403;2017-08-21 08:55:48.403;Adam Mitz;1836618;91;0;1;55;<windows><embed><media>;Embedding Windows Media Player for all browsers;167688
165;0;0;NULL;0;NULL;2008-08-01 18:04:25.023;0;2016-01-20 15:31:50.297;2016-01-20 15:31:50.297;NULL;1324;0;145;2;9;NULL;NULL;0
166;0;0;NULL;7;NULL;2008-08-01 18:08:16.590;0;2015-12-29 06:29:47.283;2015-12-29 06:29:47.283;NULL;3787519;17;163;2;25;NULL;NULL;0
167;0;0;NULL;0;NULL;2008-08-01 18:08:53.080;0;2008-08-01 18:14:56.093;2008-08-01 18:14:56.093;Grant;30;30;164;2;6;NULL;NULL;0
169;0;0;NULL;0;NULL;2008-08-01 18:23:59.040;0;2008-08-01 18:23:59.040;NULL;NULL;0;93;126;2;42;NULL;NULL;0
170;0;0;NULL;2;NULL;2008-08-01 18:24:30.550;0;2015-12-29 06:27:45.697;2015-12-29 06:27:45.697;NULL;3787519;59;163;2;30;NULL;NULL;0
173;516;29;NULL;2;NULL;2008-08-01 18:33:08.333;198;2017-12-28 05:39:01.707;2017-08-21 08:55:26.907;user5857081;1836618;83;0;1;292;<sql-server><database><svn><version-control>;Versioning SQL Server database;84418
174;0;6;NULL;2;NULL;2008-08-01 18:33:48.287;7;2017-12-22 18:49:24.380;2017-12-22 18:49:24.380;Chris Marasti-Georg;2384186;96;0;1;69;<c#><html><web-services><printing>;How do I print an HTML document from a web service?;13656
175;0;3;NULL;0;NULL;2008-08-01 18:36:14.070;2;2017-10-19 20:52:49.387;2017-08-21 08:54:47.013;NULL;1836618;2089740;0;1;42;<youtube><reverse-engineering>;Annotating YouTube videos programmatically;6660
176;207;11;NULL;0;NULL;2008-08-01 18:37:40.150;19;2018-05-31 07:14:38.090;2018-01-30 17:47:19.737;NULL;3919949;91;0;1;100;<linux><apache><virtualhost>;error_log per Virtual Host?;84979
180;539;8;2017-08-16 09:55:30.000;1;NULL;2008-08-01 18:42:19.343;22;2018-05-30 13:55:59.787;2018-05-30 13:53:46.533;NULL;5321363;2089740;0;1;65;<algorithm><language-agnostic><colors><color-space>;Function for creating color wheels;15204
183;0;0;NULL;0;NULL;2008-08-01 18:51:12.090;0;2013-02-07 10:36:04.283;2013-02-07 10:36:04.283;NULL;395659;86;123;2;62;NULL;NULL;0
190;0;0;NULL;0;NULL;2008-08-01 19:21:57.517;0;2008-08-01 19:21:57.517;NULL;NULL;0;55;123;2;15;NULL;NULL;0
192;258;4;NULL;0;NULL;2008-08-01 19:23:13.117;0;2012-05-04 09:26:51.287;2012-05-04 09:26:51.287;Michael Stum;1039608;91;0;1;56;<c#><.net><asp.net><internationalization><globalization>;Floating Point Number parsing: Is there a Catch All algorithm?;2422
194;197;4;NULL;0;NULL;2008-08-01 19:26:37.883;2;2017-01-17 09:38:49.320;2012-06-12 05:35:46.927;Nigel Campbell;165216;60;0;1;31;<sql-server><migration>;Upgrading SQL Server 6.5;3558
195;0;0;NULL;3;NULL;2008-08-01 19:28:25.447;0;2008-08-01 19:28:25.447;NULL;NULL;0;80;173;2;39;NULL;NULL;0
197;0;0;NULL;0;NULL;2008-08-01 19:34:49.067;0;2008-08-01 19:34:49.067;NULL;NULL;0;71;194;2;9;NULL;NULL;0
199;0;0;NULL;0;NULL;2008-08-01 19:36:46.067;0;2008-08-01 19:36:46.067;NULL;NULL;0;50;180;2;2;NULL;NULL;0
206;0;0;NULL;1;NULL;2008-08-01 19:52:14.227;0;2015-12-29 06:30:38.617;2015-12-29 06:30:38.617;NULL;3787519;35;134;2;11;NULL;NULL;0
207;0;0;NULL;4;NULL;2008-08-01 19:58:45.837;0;2011-03-31 09:31:50.077;2011-03-31 09:31:50.077;NULL;177002;50;176;2;75;NULL;NULL;0
210;0;0;NULL;0;NULL;2008-08-01 20:02:08.357;0;2008-08-01 20:02:08.357;NULL;NULL;0;39;192;2;27;NULL;NULL;0
212;0;0;NULL;0;NULL;2008-08-01 20:05:12.750;0;2008-08-01 20:05:12.750;NULL;NULL;0;96;192;2;12;NULL;NULL;0
227;2943318;8;NULL;0;NULL;2008-08-01 21:40:55.833;10;2017-07-30 05:00:43.730;2012-06-28 08:11:23.453;Adam Bellaire;500729;146637;0;1;69;<php><arrays><cloud><tag-cloud>;What's the best way to generate a tag cloud from an array using h1 through h6 for sizing?;5585
229;0;0;NULL;1;2011-08-16 19:40:43.080;2008-08-01 21:46:12.313;0;2017-07-25 17:11:03.427;2017-07-25 17:11:03.427;Michael Stum;129136;91;9;2;65;NULL;NULL;0
231;1812;3;NULL;0;NULL;2008-08-01 22:08:14.453;5;2016-09-14 12:24:22.970;2012-05-04 09:28:48.887;Adam Mitz;1039608;62;0;1;33;<windows><mailto>;Register Windows program with the mailto protocol programmatically;25740
233;0;0;NULL;0;NULL;2008-08-01 22:12:30.170;0;2013-12-16 12:02:18.317;2013-12-16 12:02:18.317;NULL;1018966;71;231;2;13;NULL;NULL;0
234;12202;4;NULL;0;NULL;2008-08-01 22:13:34.100;15;2017-08-24 09:08:28.263;2017-08-24 09:08:28.263;user1873471;1836618;91;0;1;75;<mysql><sql-server><sql-server-2005>;SQL Server 2005 implementation of MySQL REPLACE INTO?;36009
235;0;0;NULL;1;NULL;2008-08-01 22:18:21.623;0;2013-06-14 14:22:37.283;2013-06-14 14:22:37.283;NULL;-1;91;231;2;5;NULL;NULL;0
236;0;0;NULL;1;NULL;2008-08-01 22:20:05.117;0;2008-08-01 22:20:05.117;NULL;NULL;0;48;176;2;9;NULL;NULL;0
238;0;0;NULL;0;NULL;2008-08-01 22:22:37.823;0;2008-08-01 22:22:37.823;NULL;NULL;0;34;234;2;22;NULL;NULL;0
243;0;0;NULL;0;NULL;2008-08-01 22:31:36.137;0;2008-08-01 22:31:36.137;NULL;NULL;0;71;234;2;16;NULL;NULL;0
246;176741;3;NULL;0;NULL;2008-08-01 22:34:42.853;0;2017-08-24 09:08:16.970;2017-08-24 09:08:16.970;NULL;1836618;71;0;1;32;<.net><database><sqlite>;Create a SQLite database based on an XSD Data Set;2064
253;0;0;NULL;0;NULL;2008-08-01 23:10:56.510;0;2008-08-01 23:10:56.510;NULL;NULL;0;55;227;2;30;NULL;NULL;0
258;0;0;NULL;0;NULL;2008-08-01 23:17:53.657;0;2008-08-01 23:17:53.657;NULL;NULL;0;55;192;2;27;NULL;NULL;0
260;307;9;NULL;3;NULL;2008-08-01 23:22:08.983;18;2017-08-31 23:08:07.753;2017-08-24 09:07:46.777;eed3si9n;1836618;91;0;1;63;<c#><.net><scripting><compiler-construction>;Adding scripting functionality to .NET applications;15982
263;607;3;NULL;0;NULL;2008-08-01 23:27:24.993;2;2017-08-24 09:07:35.740;2017-08-24 09:07:35.740;Bernard;1836618;61;0;1;29;<c><linux><gtk><x11>;GTK implementation of MessageBox;7825
